id;name;lat;lon;city;address;website;description;image_url;google_place_id;google_rating;google_user_ratings_total;google_editorial_summary
gym_000127;Brobys utegym;56.261036;14.0794649;Broby;Per Johnssons väg 3, 289 41 Broby;;;;;;;
gym_000128;Broparkens utegym;59.324996;17.992548;Stockholm;Stora Essingen, 11264, Stockholm;https://motionera.stockholm/hitta-utegym/utegym/broparkens-utegym;Detta utegym ligger längs strandpromenaden i Broparken, på östra delen av Stora Essingen. Klicka på Mina favoriter för att jämföra dina sparade verksamheter.;https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/c4d5195a-2e45-4a8d-a962-846b59b278f8.jpeg;;;;
gym_000129;Brösarps utegym 1;55.7205036;14.0996316;Brösarp;Brunnsviksvägen 28, 277 50 Brösarp;https://www.tomelilla.se/uppleva-och-gora/fritid-och-motion/utegym;;;ChIJWUREku5sVEYRpOYEMcm6EAo;2.9;9;
gym_000130;Brösarps utegym 2;55.721054;14.0952477;Brösarp;Brunnsviksvägen 28, 277 50 Brösarp;https://www.tomelilla.se/uppleva-och-gora/fritid-och-motion/utegym;;;ChIJizGGAd5tVEYRUHlKavyl7Oo;5.0;4;
gym_000131;Brotorp utegym;59.27249;18.146524;Stockholm;Klarälvsvägen 38, 12844, Bagarmossen;https://motionera.stockholm/hitta-utegym/utegym/brotorp-utegym;Brotorp utegym är ett komplett utegym med marklyft, ryggdrag, armgång, situps, dips, bänkpress, axelpress, knäböj, upphopp och balansträning. Här finns även en räckhäv i olika nivåer samt en stretchyta. Klicka på Mina favoriter för att jämföra dina sparade verksamheter. I anslutning till utegymmet finns två boulebanor samt en fotbollsplan på grus.;https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/ccbcad35-6430-43fe-8d15-3249b40e73df.jpeg;ChIJu6U2uv54X0YR5BF-yCAfzV8;4.5;45;
gym_000132;Brotorpsbadet utegym;59.1744568;17.7926685;Grödinge;Brosjön, 147 71 Grödinge;https://www.botkyrka.se/uppleva-och-gora/idrott-och-motion/har-kan-du-trana/utegym#h-Brotorpsbadetsutegym;;;ChIJF8lBSmNtX0YRdZ5EDLBHC5M;4.3;8;
gym_000133;Brottets utegym;56.6609213;12.8200817;Halmstad;Schélevägen 7, 302 91 Halmstad;;;;ChIJve5KAQC9UUYRP3qZzo4IYsQ;5.0;3;
gym_000134;Brukets utegym;59.4317433;17.7752493;Järfälla;Görvälnsvägen 13, 175 46 Järfälla;;;;ChIJs1Nz67ehX0YRdf5RRPuqKvk;4.2;5;
gym_000135;Bruksvägens utegym;63.8589395;20.3313981;Umeå;Byttgränd, Östra Ersboda, Ersboda, Umeå, Umeå kommun, Västerbottens län, 906 27, Sverige;;Military fitness track;;ChIJaeR612RFfEYR2wsRqp0Smgw;4.5;4;
gym_000136;Brunnsängs IP;59.2135104420903;17.6380026340484;Södertälje;Brunnsängsvägen;;Brunnsängs utegym finns på den nyaste av kommunens spontanidrottsplatser. ;;;;;
